,date,men_gold,men_silver,men_bronze,total_gold,total_silver,total_bronze,women_gold,women_silver,women_bronze,total_medals,men_total,women_total,Fencing,Judo,Skateboarding,Swimming,country,Canoe Slalom,Cycling Road,Cycling Mountain Bike,Diving,Rugby Sevens,Archery,Shooting,Artistic Gymnastics,Equestrian,Table Tennis,Cycling BMX Freestyle,Triathlon,Rowing,Athletics,Badminton,Tennis,Trampoline Gymnastics,Cycling BMX Racing,Sailing,Boxing,Golf,3x3 Basketball,Surfing,Cycling Track,Wrestling,Artistic Swimming,Weightlifting,Sport Climbing,Taekwondo,Canoe Sprint,Marathon Swimming,Hockey,Football,Volleyball,Breaking,Rhythmic Gymnastics,Beach Volleyball
48,2024-07-29,0,1,0,0,1,0,0,0,0,3,3,0,,"(0, 1, 0)",,,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2024-07-29,0,1,0,0,1,0,0,0,0,3,3,0,,"(0, 1, 0)",,,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2024-07-29,0,1,0,0,1,0,0,0,0,3,3,0,,,,,Poland,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2024-07-29,0,1,0,0,1,0,0,0,0,3,3,0,"(0, 1, 0)",,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2024-07-29,0,0,2,0,0,2,0,0,0,6,6,0,,"(0, 0, 2)",,,Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2024-07-29,0,0,1,0,0,1,0,0,0,3,3,0,,,,,Croatia,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2024-07-29,0,0,1,0,0,1,0,0,0,3,3,0,"(0, 0, 1)",,,,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2024-07-29,0,0,1,0,0,1,0,0,0,3,3,0,,"(0, 0, 1)",,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2024-07-29,0,0,1,0,0,1,0,0,0,3,3,0,"(0, 0, 1)",,,,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2024-07-29,0,0,1,0,0,1,0,0,0,3,3,0,,,,,India,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2024-07-29,0,0,1,0,0,1,0,0,0,3,3,0,,,,"(0, 0, 1)",Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2024-07-29,0,0,1,0,0,1,0,0,0,3,3,0,,,,,Mexico,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2024-07-29,0,0,1,0,0,1,0,0,0,3,3,0,,,,,Switzerland,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2024-07-29,0,0,1,0,0,1,0,0,0,3,3,0,,,,,Slovakia,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2024-07-29,0,0,1,0,0,1,0,0,0,3,3,0,,,,,Türkiye,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2024-07-29,0,0,1,0,0,1,0,0,0,3,3,0,"(0, 0, 1)",,,,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2024-07-30,5,1,2,0,0,1,7,2,4,3,24,39,"(1, 0, 0)","(3, 0, 3)","(2, 1, 0)","(0, 1, 0)",Japan,,,,,,,,"(1, 0, 0)","(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2024-07-30,3,3,0,2,0,0,6,6,2,6,18,42,,,,"(0, 2, 2)",China,,,,"(2, 0, 0)",,"(0, 1, 0)","(3, 2, 0)","(0, 1, 0)",,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2024-07-30,0,2,1,0,1,0,6,4,1,3,9,33,,,,"(4, 3, 1)",Australia,"(1, 0, 0)","(1, 0, 0)",,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2024-07-30,3,5,0,0,1,0,5,9,4,3,24,54,"(1, 4, 0)","(0, 2, 4)",,"(1, 0, 0)",France,"(1, 0, 0)",,"(1, 1, 0)",,"(1, 0, 0)","(0, 1, 0)",,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2024-07-30,2,0,2,0,1,1,5,3,3,6,12,33,"(1, 0, 0)","(0, 1, 1)",,"(0, 0, 1)",Korea,,,,,,"(2, 0, 0)","(2, 2, 0)",,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2024-07-30,1,4,6,4,11,11,3,7,5,78,33,45,"(1, 1, 1)",,"(0, 1, 1)","(2, 7, 6)",United States,,"(0, 0, 1)","(0, 1, 0)","(0, 1, 0)","(0, 0, 1)",,,"(1, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
